2023-12-16 15:27:44 configure ncurses-base:all 6.4-4 <none>
2023-12-16 15:27:44 status unpacked ncurses-base:all 6.4-4
2023-12-16 15:27:44 status half-configured ncurses-base:all 6.4-4
2023-12-16 15:27:44 status installed ncurses-base:all 6.4-4
2023-12-16 15:27:44 configure init-system-helpers:all 1.65.2 <none>
2023-12-16 15:27:44 status unpacked init-system-helpers:all 1.65.2
2023-12-16 15:27:44 status half-configured init-system-helpers:all 1.65.2
2023-12-16 15:27:44 status installed init-system-helpers:all 1.65.2
2023-12-16 15:27:44 configure libgcc-s1:amd64 12.2.0-14 <none>
2023-12-16 15:27:44 status unpacked libgcc-s1:amd64 12.2.0-14
2023-12-16 15:27:44 status half-configured libgcc-s1:amd64 12.2.0-14
2023-12-16 15:27:44 status installed libgcc-s1:amd64 12.2.0-14
2023-12-16 15:27:45 configure libc6:amd64 2.36-9+deb12u3 <none>
2023-12-16 15:27:45 status unpacked libc6:amd64 2.36-9+deb12u3
2023-12-16 15:27:45 status half-configured libc6:amd64 2.36-9+deb12u3
2023-12-16 15:27:45 status installed libc6:amd64 2.36-9+deb12u3
2023-12-16 15:27:45 configure libudev1:amd64 252.19-1~deb12u1 <none>
2023-12-16 15:27:45 status unpacked libudev1:amd64 252.19-1~deb12u1
2023-12-16 15:27:45 status half-configured libudev1:amd64 252.19-1~deb12u1
2023-12-16 15:27:45 status installed libudev1:amd64 252.19-1~deb12u1
2023-12-16 15:27:45 configure libffi8:amd64 3.4.4-1 <none>
2023-12-16 15:27:45 status unpacked libffi8:amd64 3.4.4-1
